Symbol,Price
GPIL,265.4
GPPL,176.02
GPTHEALTH,129.32
GPTINFRA,127.58
GRANULES,569.9
GRAPHITE,670.15
GRASIM,2925.5
GRAVITA,1672.3
GREAVESCOT,168.63
GREENLAM,247.76
GREENPANEL,223.48
GREENPLY,236.3
GREENPOWER,10.3
GRINDWELL,1650.0
GRINFRA,978.5
GRMOVER,162.83
GROBTEA,960.0
GROWW,179.66
GRPLTD,1803.3
GRSE,2496.2
GRWRHITECH,4171.4
GSFC,177.51
GSLSU,86.82
GSPL,310.3
GSS,15.45
GTECJAINX,19.4
GTL,8.04
GTLINFRA,1.28
GTPL,78.15
GUFICBIO,312.65
GUJALKALI,481.2
GUJAPOLLO,414.0
GUJGASLTD,425.35
GUJRAFFIA,41.97
GUJTHEM,318.65
GULFOILLUB,1158.1
GULFPETRO,33.97
GULPOLY,162.87
GVKPIL,3.04
GVPIL,399.75
GVPTECH,8.16
GVT&D,3622.5
HAL,4158.9
HALDER,269.45
HALEOSLABS,1281.9
HAPPSTMNDS,380.7
HAPPYFORGE,1286.6
HARDWYN,17.24
HARIOMPIPE,381.35
HARRMALAYA,169.94
HARSHA,386.3
HATHWAY,11.45
HATSUN,914.6
HAVELLS,1400.5
HAVISHA,1.7
HBLENGINE,776.95
HBSL,64.45
HCC,20.1
HCG,595.05
HCL-INSYS,13.96
HCLTECH,1476.1
HDBFS,715.0
HDFCAMC,2835.7
HDFCBANK,920.6
HDFCLIFE,702.7
HEADSUP,8.62
HECPROJECT,116.15
HEG,532.0
HEIDELBERG,169.24
HEMIPROP,137.99
HERANBA,212.94
HERITGFOOD,364.8
HEROMOTOCO,5733.0
HESTERBIO,1584.7
HEXATRADEX,161.0
HEXT,542.95
HFCL,71.62
HGINFRA,672.25
HGM,61.84
HGS,418.5
HIKAL,215.05
HILINFRA,56.87
HILTON,27.32
HIMATSEIDE,110.39
HINDALCO,964.4
HINDCOMPOS,436.9
HINDCON,22.57
HINDCOPPER,624.7
HINDOILEXP,152.2
HINDPETRO,452.35
HINDUNILVR,2409.7
HINDWAREAP,238.29
HINDZINC,623.7
HIRECT,1363.9
HISARMETAL,173.67
HITECH,87.14
HITECHCORP,154.42
HITECHGEAR,654.85
HLEGLAS,337.05
HLVLTD,8.98
HMAAGRO,30.12
HMT,43.13
HMVL,72.21
HNDFDS,525.35
HOMEFIRST,1187.5
HONASA,299.25
HONAUT,31865.0
HONDAPOWER,2315.4
HPAL,41.06
HPIL,130.76
HPL,363.2
HSCL,452.25
HTMEDIA,21.76
HUBTOWN,232.99
HUDCO,201.93
HUHTAMAKI,193.76
HYBRIDFIN,21.23
HYUNDAI,2177.5
IBULLSLTD,9.72
ICDSLTD,41.8
ICEMAKE,748.2
ICICIAMC,3108.5
ICICIBANK,1430.0
ICICIGI,1919.8
ICICIPRULI,638.1
ICIL,304.21
ICRA,5949.5
IDBI,110.11
IDEA,11.55
IDEAFORGE,421.6
IDFCFIRSTB,82.15
IEX,125.91
IFBAGRO,908.3
IFBIND,1211.6
IFCI,61.9
IFGLEXPOR,189.49
IGARASHI,384.1
IGCL,70.74
IGIL,329.35
IGL,169.61
IGPL,347.1
IIFL,523.0
IIFLCAPS,324.15
IITL,130.23
IKIO,150.26
IKS,1659.4
IL&FSENGG,27.43
IL&FSTRANS,2.79
IMAGICAA,48.5
IMFA,1459.4
IMPAL,1044.4
IMPEXFERRO,1.81
INCREDIBLE,35.84
INDBANK,36.67
INDGN,470.75
INDHOTEL,712.0
INDIACEM,448.25
INDIAGLYCO,952.8
INDIAMART,2200.2
INDIANB,880.7
INDIANCARD,231.57
INDIANHUME,396.85
INDIASHLTR,742.15
INDIGO,4982.8
INDIGOPNTS,997.4
INDIQUBE,182.41
INDNIPPON,794.0
INDOAMIN,114.13
INDOBORAX,243.93
INDOCO,204.78
INDOFARM,145.56
INDORAMA,37.6
INDOSTAR,242.66
INDOTECH,1383.3
INDOTHAI,268.28
INDOUS,126.83
INDOWIND,12.13
INDRAMEDCO,431.65
INDSWFTLAB,135.61
INDTERRAIN,36.77
INDUSINDBK,922.7
INDUSTOWER,474.0
INFOBEAN,895.55
INFOMEDIA,5.42
INFY,1386.0
INGERRAND,3539.7
INNOVACAP,691.7
INNOVANA,402.9
INOXGREEN,176.1
INOXINDIA,1147.1
INOXWIND,109.32
INSECTICID,616.75
INSPIRISYS,96.44
INTELLECT,711.2
INTENTECH,112.02
INTERARCH,1973.9
INTLCONV,80.31
INVENTURE,1.15
IOB,35.2
IOC,178.11
IOLCP,74.62
IONEXCHANG,386.5
IPCALAB,1472.9
IPL,167.77
IRB,44.46
IRCON,154.47
IRCTC,622.05
IREDA,125.22
IRFC,113.53
IRIS,247.45
IRISDOREME,35.63
IRMENERGY,253.29
ISFT,87.04
ISGEC,886.95
ISHANCH,59.84
ITC,317.45
ITCHOTELS,184.68
ITDC,543.4
ITI,293.6
IVALUE,247.1
IVC,7.75
IVP,142.04
IXIGO,211.92
IZMO,764.85
J&KBANK,103.53
JAGRAN,64.11
JAGSNPHARM,178.86
JAIBALAJI,73.44
JAICORPLTD,117.76
JAINREC,396.7
JAIPURKURT,38.21
JAMNAAUTO,136.98
JARO,477.4
JASH,406.65
JAYAGROGN,177.15
JAYBARMARU,107.18
JAYKAY,161.4
JAYNECOIND,79.84
JAYSREETEA,84.13
JBCHEPHARM,1910.1
JBMA,596.5
JETFREIGHT,17.3
JGCHEM,400.75
JHS,10.47
JINDALPHOT,1438.8
JINDALPOLY,440.3
JINDALSAW,191.89
JINDALSTEL,1203.4
JINDRILL,488.85
JINDWORLD,27.47
JIOFIN,267.55
JISLDVREQS,23.99
JISLJALEQS,36.28
JITFINFRA,356.45
JKCEMENT,5812.0
JKIL,560.85
JKIPL,69.21
JKLAKSHMI,716.05
JKPAPER,345.75
JKTYRE,582.75
JLHL,1255.3
JMA,79.63
JMFINANCIL,141.1
JNKINDIA,242.22
JOCIL,136.15
JPASSOCIAT,3.52
JPOLYINVST,1100.85
JPPOWER,15.33
JSFB,395.9
JSL,799.6
JSLL,726.55
JSWCEMENT,119.65
JSWENERGY,479.5
JSWHL,17302.0
JSWINFRA,263.15
JSWSTEEL,1247.9
JTEKTINDIA,142.35
JTLIND,65.36
JUBLCPL,1875.8
JUBLFOOD,540.75
JUBLINGREA,661.8
JUBLPHARMA,943.25
JUNIPER,252.8
JUSTDIAL,671.9
JWL,299.7
JYOTHYLAB,248.32
JYOTICNC,852.3
JYOTISTRUC,10.96
KABRAEXTRU,247.51
KAJARIACER,955.4
KAKATCEM,117.18
KALAMANDIR,114.22
KALPATARU,350.5
